date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:17	52172/52172	---M--	200	added ('OK')	image/png	etag:%22cbcc-603f8bf40ddc0%22	https://school2024.abinit.org/images/logos/cea_logo.png	school2024.abinit.org/images/logos/cea_logo.png	(from https://school2024.abinit.org/)
12:23:18	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.eot	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:19	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.eot?	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:20	13224/13224	---M--	200	added ('OK')	font/woff2	etag:%2233a8-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:21	16276/16276	---M--	200	added ('OK')	font/woff	etag:%223f94-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:22	33736/33736	---M--	200	added ('OK')	font/ttf	etag:%2283c8-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:24	144714/144714	---M--	200	added ('OK')	image/svg+xml	etag:%222354a-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.svg	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-regular-400.svg	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:26	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.eot	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:26	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.eot?	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:27	78268/78268	---M--	200	added ('OK')	font/woff2	etag:%22131bc-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:28	101648/101648	---M--	200	added ('OK')	font/woff	etag:%2218d10-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:30	202744/202744	---M--	200	added ('OK')	font/ttf	etag:%22317f8-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:30	918991/918991	---M--	200	added ('OK')	image/svg+xml	etag:%22e05cf-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.svg	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-solid-900.svg	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:31	134294/134294	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220c96-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.eot	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:32	134294/134294	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220c96-5ffcb58fd6a00%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.eot?	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:33	76736/76736	---M--	200	added ('OK')	font/woff2	etag:%2212bc0-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:34	89988/89988	---M--	200	added ('OK')	font/woff	etag:%2215f84-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.woff	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.woff	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:35	133988/133988	---M--	200	added ('OK')	font/ttf	etag:%2220b64-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:36	19374/19374	---M--	200	added ('OK')	image/jpeg	etag:%224bae-6026c1bd53100%22	https://school2024.abinit.org/templates/shaper_helixultimate/images/menu-bg.jpg	school2024.abinit.org/templates/shaper_helixultimate/images/menu-bg.jpg	(from https://school2024.abinit.org/templates/shaper_helixultimate/css/template.css)
12:23:38	747927/747927	---M--	200	added ('OK')	image/svg+xml	etag:%22b6997-5ffcb591bee80%22	https://school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.svg	school2024.abinit.org/media/vendor/fontawesome-free/webfonts/fa-brands-400.svg	(from https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336)
12:23:38	305099/305099	---M--	200	added ('OK')	application/pdf	etag:%224a7cb-60f4afb1248e0%22	https://school2024.abinit.org/images/files/abischool24_program.pdf	school2024.abinit.org/images/files/abischool24_program.pdf	(from https://school2024.abinit.org/program/program-and-speakers)
12:23:40	216820/216820	---M--	200	added ('OK')	image/png	etag:%2234ef4-60f4afb1248e0%22	https://school2024.abinit.org/images/files/abischool24_program.png	school2024.abinit.org/images/files/abischool24_program.png	(from https://school2024.abinit.org/program/program-and-speakers)
12:23:41	1796749/1796749	---M--	200	added ('OK')	image/jpeg	etag:%221b6a8d-604286131cac0%22	https://school2024.abinit.org/images/images/TGCC_1.jpg	school2024.abinit.org/images/images/TGCC_1.jpg	(from https://school2024.abinit.org/resources/location)
12:23:41	466203/466203	---M--	200	added ('OK')	image/jpeg	etag:%2271d1b-6042865469780%22	https://school2024.abinit.org/images/images/Plan_Acces_Campus_Teratec.jpg	school2024.abinit.org/images/images/Plan_Acces_Campus_Teratec.jpg	(from https://school2024.abinit.org/resources/location)
12:23:41	1556/1556	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202024%2011:20:09%20GMT	https://school2024.abinit.org/resources/images/images/plan_teratec.jpg	school2024.abinit.org/resources/images/images/plan_teratec.jpg	(from https://school2024.abinit.org/resources/location)
12:23:43	69032/69032	---M--	200	added ('OK')	image/jpeg	etag:%2210da8-604386be23b20%22	https://school2024.abinit.org/images/logos/belambra-clubs-le-domaine.jpg	school2024.abinit.org/images/logos/belambra-clubs-le-domaine.jpg	(from https://school2024.abinit.org/resources/location)
